cp4,barrio,comuna,confianza_pct,n_segmentos,n_barrios_zona,fuente
1031,MONSERRAT,1,,0,1,Override manual (sin calles en CPA)
1032,MONSERRAT,1,,0,1,Override manual (sin calles en CPA)
1033,MONSERRAT,1,,0,1,Override manual (sin calles en CPA)
1034,SAN NICOLAS,1,100.0,1,1,GCBA+Correo Argentino
1035,SAN NICOLAS,1,100.0,10,1,GCBA+Correo Argentino
1039,SAN NICOLAS,1,,0,1,Override manual (sin calles en CPA)
1040,SAN NICOLAS,1,,0,1,Override manual (sin calles en CPA)
1041,SAN NICOLAS,1,,0,1,Override manual (sin calles en CPA)
1042,SAN NICOLAS,1,100.0,8,1,GCBA+Correo Argentino
1043,SAN NICOLAS,1,99.7,35,4,GCBA+Correo Argentino
